set	PDB_id	DDI_pfam_id	path	chainA_id	chainB_id	min_distance	buried_area	salt_bridges	hbonds	disulfide_bonds	hydrophobic_interactions
DMI	1ATP		DMI_hydrogens\1ATP_min_DMI.pdb	A	B	6.273	808.592	0	1	0	77
DMI	1AXC		DMI_hydrogens\1AXC_min_DMI.pdb	A	B	4.174	1209.332	0	4	0	62
DMI	1B72		DMI_hydrogens\1B72_min_DMI.pdb	A	B	5.182	547.149	0	1	0	36
DMI	1B8Q		DMI_hydrogens\1B8Q_min_DMI.pdb	A	B	4.376	871.756	0	4	0	42
DMI	1BXX		DMI_hydrogens\1BXX_min_DMI.pdb	A	B	4.435	783.465	0	6	0	19
DMI	1C9I		DMI_hydrogens\1C9I_min_DMI.pdb	A	B	4.594	879.519	0	2	0	87
DMI	1CA9		DMI_hydrogens\1CA9_min_DMI.pdb	A	B	3.855	726.452	1	4	0	0
DMI	1CKA		DMI_hydrogens\1CKA_min_DMI.pdb	A	B	6.395	761.158	3	4	0	56
DMI	1CZY		DMI_hydrogens\1CZY_min_DMI.pdb	A	B	4.0	877.2	1	6	0	52
DMI	1D5G		DMI_hydrogens\1D5G_min_DMI.pdb	A	B	4.208	847.331	0	6	0	22
DMI	1DDV		DMI_hydrogens\1DDV_min_DMI.pdb	A	B	4.953	519.226	0	0	0	86
DMI	1DPU		DMI_hydrogens\1DPU_min_DMI.pdb	A	B	3.873	850.833	2	8	0	16
DMI	1EG4		DMI_hydrogens\1EG4_min_DMI.pdb	A	B	5.349	573.941	0	0	0	31
DMI	1ELR		DMI_hydrogens\1ELR_min_DMI.pdb	A	B	5.264	773.284	2	12	0	1
DMI	1EVH		DMI_hydrogens\1EVH_min_DMI.pdb	A	B	6.396	734.102	0	2	0	73
DMI	1F95		DMI_hydrogens\1F95_min_DMI.pdb	A	B	3.849	939.418	0	6	0	0
DMI	1FF1		DMI_hydrogens\1FF1_min_DMI.pdb	A	B	3.535	675.358	0	1	0	106
DMI	1GH6		DMI_hydrogens\1GH6_min_DMI.pdb	A	B	5.796	1239.433	0	3	0	21
DMI	1GO4		DMI_hydrogens\1GO4_min_DMI.pdb	A	B	4.191	1585.029	1	9	0	83
DMI	1GWQ		DMI_hydrogens\1GWQ_min_DMI.pdb	A	B	6.285	906.895	0	4	0	71
DMI	1H25		DMI_hydrogens\1H25_min_DMI.pdb	A	B	3.86	1104.504	0	4	0	76
DMI	1JD5		DMI_hydrogens\1JD5_min_DMI.pdb	A	B	4.223	711.652	0	5	0	53
DMI	1JGN		DMI_hydrogens\1JGN_min_DMI.pdb	A	B	3.762	1208.382	2	1	0	65
DMI	1JWG		DMI_hydrogens\1JWG_min_DMI.pdb	A	B	5.341	1089.973	2	6	0	52
DMI	1KKQ		DMI_hydrogens\1KKQ_min_DMI.pdb	A	B	5.648	997.717	1	1	0	35
DMI	1KPS		DMI_hydrogens\1KPS_min_DMI.pdb	A	B	6.197	511.881	0	2	0	5
DMI	1KY7		DMI_hydrogens\1KY7_min_DMI.pdb	A	B	6.367	768.669	2	6	0	58
DMI	1KYU		DMI_hydrogens\1KYU_min_DMI.pdb	A	B	6.973	556.26	1	0	0	79
DMI	1L2Z		DMI_hydrogens\1L2Z_min_DMI.pdb	A	B	6.49	808.658	1	2	0	45
DMI	1M4P		DMI_hydrogens\1M4P_min_DMI.pdb	A	B	4.466	854.531	0	1	0	57
DMI	1MFG		DMI_hydrogens\1MFG_min_DMI.pdb	A	B	3.977	674.097	0	5	0	42
DMI	1MKE		DMI_hydrogens\1MKE_min_DMI.pdb	A	B	5.45	660.97	0	1	0	80
DMI	1N4M		DMI_hydrogens\1N4M_min_DMI.pdb	A	B	5.816	977.236	1	2	0	69
DMI	1NTV		DMI_hydrogens\1NTV_min_DMI.pdb	A	B	4.363	1246.243	1	8	0	57
DMI	1NW9		DMI_hydrogens\1NW9_min_DMI.pdb	A	B	4.363	645.4	0	3	0	68
DMI	1O0P		DMI_hydrogens\1O0P_min_DMI.pdb	A	B	4.28	1153.132	0	2	0	53
DMI	1O6K		DMI_hydrogens\1O6K_min_DMI.pdb	A	B	4.272	1464.773	3	13	0	45
DMI	1O9U		DMI_hydrogens\1O9U_min_DMI.pdb	A	B	5.639	1313.974	1	1	0	126
DMI	1PD7		DMI_hydrogens\1PD7_min_DMI.pdb	A	B	5.121	1361.894	0	0	0	120
DMI	1PJM		DMI_hydrogens\1PJM_min_DMI.pdb	A	B	4.833	2269.596	2	15	0	40
