set	PDB_id	DDI_pfam_id	path	chainA_id	chainB_id	min_distance	buried_area	salt_bridges	hbonds	disulfide_bonds	hydrophobic_interactions
DMI	1ATP		DMI\1ATP_min_DMI.pdb	A	B	6.273	808.592	0	0	0	77
DMI	1AXC		DMI\1AXC_min_DMI.pdb	A	B	4.174	1209.332	0	4	0	62
DMI	1B72		DMI\1B72_min_DMI.pdb	A	B	5.182	547.149	0	0	0	36
DMI	1B8Q		DMI\1B8Q_min_DMI.pdb	A	B	4.376	871.756	0	4	0	42
DMI	1BXX		DMI\1BXX_min_DMI.pdb	A	B	4.435	783.465	0	0	0	19
DMI	1C9I		DMI\1C9I_min_DMI.pdb	A	B	4.594	879.519	0	0	0	87
DMI	1CA9		DMI\1CA9_min_DMI.pdb	A	B	3.855	726.452	1	0	0	0
DMI	1CKA		DMI\1CKA_min_DMI.pdb	A	B	6.395	761.158	3	4	0	56
DMI	1CZY		DMI\1CZY_min_DMI.pdb	A	B	4.0	877.2	1	0	0	52
DMI	1D5G		DMI\1D5G_min_DMI.pdb	A	B	4.208	847.331	0	6	0	22
DMI	1DDV		DMI\1DDV_min_DMI.pdb	A	B	4.953	519.226	0	0	0	86
DMI	1DPU		DMI\1DPU_min_DMI.pdb	A	B	3.873	850.833	2	8	0	16
DMI	1EG4		DMI\1EG4_min_DMI.pdb	A	B	5.349	573.941	0	0	0	31
DMI	1ELR		DMI\1ELR_min_DMI.pdb	A	B	5.264	773.284	2	0	0	1
DMI	1EVH		DMI\1EVH_min_DMI.pdb	A	B	6.396	734.102	0	0	0	73
DMI	1F95		DMI\1F95_min_DMI.pdb	A	B	3.849	939.418	0	6	0	0
DMI	1FF1		DMI\1FF1_min_DMI.pdb	A	B	3.535	675.358	0	1	0	106
DMI	1GH6		DMI\1GH6_min_DMI.pdb	A	B	5.796	1239.433	0	0	0	21
DMI	1GO4		DMI\1GO4_min_DMI.pdb	A	B	4.191	1585.029	1	0	0	83
DMI	1GWQ		DMI\1GWQ_min_DMI.pdb	A	B	6.285	906.895	0	0	0	71
DMI	1H25		DMI\1H25_min_DMI.pdb	A	B	3.86	1104.504	0	0	0	76
DMI	1JD5		DMI\1JD5_min_DMI.pdb	A	B	4.223	711.652	0	0	0	53
DMI	1JGN		DMI\1JGN_min_DMI.pdb	A	B	3.762	1208.382	2	1	0	65
DMI	1JWG		DMI\1JWG_min_DMI.pdb	A	B	5.341	1089.973	2	0	0	52
DMI	1KKQ		DMI\1KKQ_min_DMI.pdb	A	B	5.648	997.717	1	0	0	35
DMI	1KPS		DMI\1KPS_min_DMI.pdb	A	B	6.197	511.881	0	0	0	5
DMI	1KY7		DMI\1KY7_min_DMI.pdb	A	B	6.367	768.669	2	0	0	58
DMI	1KYU		DMI\1KYU_min_DMI.pdb	A	B	6.973	556.26	1	0	0	79
DMI	1L2Z		DMI\1L2Z_min_DMI.pdb	A	B	6.49	808.658	1	2	0	45
DMI	1M4P		DMI\1M4P_min_DMI.pdb	A	B	4.466	854.531	0	1	0	57
DMI	1MFG		DMI\1MFG_min_DMI.pdb	A	B	3.977	674.097	0	0	0	42
DMI	1MKE		DMI\1MKE_min_DMI.pdb	A	B	5.45	660.97	0	1	0	80
DMI	1N4M		DMI\1N4M_min_DMI.pdb	A	B	5.816	977.236	1	0	0	69
DMI	1NTV		DMI\1NTV_min_DMI.pdb	A	B	4.363	1246.243	1	0	0	57
DMI	1NW9		DMI\1NW9_min_DMI.pdb	A	B	4.363	645.4	0	0	0	68
DMI	1O0P		DMI\1O0P_min_DMI.pdb	A	B	4.28	1153.132	0	2	0	53
DMI	1O6K		DMI\1O6K_min_DMI.pdb	A	B	4.272	1464.773	3	0	0	45
DMI	1O9U		DMI\1O9U_min_DMI.pdb	A	B	5.639	1313.974	1	0	0	126
DMI	1PD7		DMI\1PD7_min_DMI.pdb	A	B	5.121	1361.894	0	0	0	120
DMI	1PJM		DMI\1PJM_min_DMI.pdb	A	B	4.833	2269.596	2	0	0	40
DMI	1S70		DMI\1S70_min_DMI.pdb	A	B	5.318	859.123	2	0	0	58
DMI	1SXJ		DMI\1SXJ_min_DMI.pdb	A	B	4.413	1501.714	1	0	0	121
DMI	1SYQ		DMI\1SYQ_min_DMI.pdb	A	B	4.864	1991.302	0	0	0	207
DMI	1UTC		DMI\1UTC_min_DMI.pdb	A	B	6.008	909.018	1	0	0	81
DMI	1YCR		DMI\1YCR_min_DMI.pdb	A	B	4.944	947.43	0	0	0	104
DMI	1YY6		DMI\1YY6_min_DMI.pdb	A	B	4.274	768.973	0	0	0	59
DMI	1ZUB		DMI\1ZUB_min_DMI.pdb	A	B	4.004	882.695	0	5	0	103
DMI	2A25		DMI\2A25_min_DMI.pdb	A	B	4.389	1156.546	0	0	0	119
DMI	2A41		DMI\2A41_min_DMI.pdb	A	B	4.395	1697.635	0	0	0	40
DMI	2ASQ		DMI\2ASQ_min_DMI.pdb	A	B	4.174	910.146	2	5	0	55
DMI	2B9J		DMI\2B9J_min_DMI.pdb	A	B	4.817	1086.008	2	0	0	16
DMI	2BZ8		DMI\2BZ8_min_DMI.pdb	A	B	5.51	750.938	2	0	0	54
DMI	2C0L		DMI\2C0L_min_DMI.pdb	A	B	4.453	877.907	0	0	0	25
DMI	2CE8		DMI\2CE8_min_DMI.pdb	A	B	5.57	1020.071	0	0	0	59
DMI	2D1K		DMI\2D1K_min_DMI.pdb	A	B	4.192	1424.108	0	0	0	48
DMI	2FLU		DMI\2FLU_min_DMI.pdb	A	B	5.404	845.393	3	0	0	6
DMI	2G30		DMI\2G30_min_DMI.pdb	A	B	6.013	1111.36	3	0	0	66
DMI	2GBQ		DMI\2GBQ_min_DMI.pdb	A	B	6.018	619.224	0	0	0	35
DMI	2GPH		DMI\2GPH_min_DMI.pdb	A	B	6.0	1235.178	3	0	0	16
DMI	2I3S		DMI\2I3S_min_DMI.pdb	A	B	6.312	1276.994	2	0	0	66
DMI	2IX7		DMI\2IX7_min_DMI.pdb	A	B	4.108	2548.104	6	0	0	99
DMI	2JK9		DMI\2JK9_min_DMI.pdb	A	B	4.177	684.06	0	0	0	8
DMI	2JKR		DMI\2JKR_min_DMI.pdb	A	B	4.839	978.498	0	0	0	31
DMI	2JQ9		DMI\2JQ9_min_DMI.pdb	A	B	5.701	880.706	2	0	0	68
DMI	2K42		DMI\2K42_min_DMI.pdb	A	B	4.499	1080.106	1	4	0	123
