structure_name,file,hbonds,salt_bridges,buried_area,min_distance,hydrophobic_interactions
1ATP_min_DMI,1ATP_min_DMI.pdb,1,0,808.592,6.273,77
1AXC_min_DMI,1AXC_min_DMI.pdb,4,0,1209.332,4.174,62
1B72_min_DMI,1B72_min_DMI.pdb,1,0,547.149,5.182,36
1B8Q_min_DMI,1B8Q_min_DMI.pdb,4,0,871.756,4.376,42
1BXX_min_DMI,1BXX_min_DMI.pdb,6,0,783.465,4.435,19
1C9I_min_DMI,1C9I_min_DMI.pdb,2,0,879.519,4.594,87
1CA9_min_DMI,1CA9_min_DMI.pdb,4,2,726.452,3.855,0
1CKA_min_DMI,1CKA_min_DMI.pdb,4,4,761.158,6.395,56
1CZY_min_DMI,1CZY_min_DMI.pdb,6,1,877.2,4.0,52
1D5G_min_DMI,1D5G_min_DMI.pdb,6,0,847.331,4.208,22
1DDV_min_DMI,1DDV_min_DMI.pdb,0,0,519.226,4.953,86
1DPU_min_DMI,1DPU_min_DMI.pdb,8,7,850.833,3.873,16
1EG4_min_DMI,1EG4_min_DMI.pdb,0,0,573.941,5.349,31
1ELR_min_DMI,1ELR_min_DMI.pdb,12,4,773.284,5.264,1
1EVH_min_DMI,1EVH_min_DMI.pdb,2,0,734.102,6.396,73
1F95_min_DMI,1F95_min_DMI.pdb,6,0,939.418,3.849,0
1FF1_min_DMI,1FF1_min_DMI.pdb,1,0,675.358,3.535,106
1GH6_min_DMI,1GH6_min_DMI.pdb,3,0,1239.433,5.796,21
1GO4_min_DMI,1GO4_min_DMI.pdb,9,0,1585.029,4.191,83
1GWQ_min_DMI,1GWQ_min_DMI.pdb,4,0,906.895,6.285,71
1H25_min_DMI,1H25_min_DMI.pdb,4,0,1104.504,3.86,76
1JD5_min_DMI,1JD5_min_DMI.pdb,5,0,711.652,4.223,53
1JGN_min_DMI,1JGN_min_DMI.pdb,1,2,1208.382,3.762,65
1JWG_min_DMI,1JWG_min_DMI.pdb,6,3,1089.973,5.341,52
1KKQ_min_DMI,1KKQ_min_DMI.pdb,1,1,997.717,5.648,35
1KPS_min_DMI,1KPS_min_DMI.pdb,2,0,511.881,6.197,5
1KY7_min_DMI,1KY7_min_DMI.pdb,6,5,768.669,6.367,58
1KYU_min_DMI,1KYU_min_DMI.pdb,0,1,556.26,6.973,79
1L2Z_min_DMI,1L2Z_min_DMI.pdb,2,1,808.658,6.49,45
1M4P_min_DMI,1M4P_min_DMI.pdb,1,0,854.531,4.466,57
1MFG_min_DMI,1MFG_min_DMI.pdb,5,0,674.097,3.977,42
1MKE_min_DMI,1MKE_min_DMI.pdb,1,0,660.97,5.45,80
1N4M_min_DMI,1N4M_min_DMI.pdb,2,4,977.236,5.816,69
1NTV_min_DMI,1NTV_min_DMI.pdb,8,1,1246.243,4.363,57
1NW9_min_DMI,1NW9_min_DMI.pdb,3,0,645.4,4.363,68
1O0P_min_DMI,1O0P_min_DMI.pdb,2,0,1153.132,4.28,53
1O6K_min_DMI,1O6K_min_DMI.pdb,13,8,1464.773,4.272,45
